Membership No  Date Joined  Active  
    21345      2016-5-19    no    
    44441      2016-5-8     no    
    53592      2018-11-8    yes   
    91616      2015-3-6     no    
    46391      2015-6-25    yes   
    25200      2020-7-24    no    
    22967      2020-8-13    no    
    41054      2020-6-15    yes   
    68859      2017-2-18    no    
    62830      2015-6-3     no    
    48398      2017-2-22    no    
    51471      2017-3-3     yes   
    85568      2016-8-1     no    
    42672      2019-10-3    yes   
    92040      2020-11-11   yes   
    53889      2019-1-6     yes   
    56856      2020-1-21    no    
    86309      2020-8-16    no    
    99724      2016-10-3    yes   
    62097      2016-8-20    yes   
